W0505 06:11:38.745000 8899 torch/distributed/run.py:852] 
W0505 06:11:38.745000 8899 torch/distributed/run.py:852] *****************************************
W0505 06:11:38.745000 8899 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0505 06:11:38.745000 8899 torch/distributed/run.py:852] *****************************************
[Gloo] Rank [Gloo] Rank 10 is connected to  is connected to 11 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 11

Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 28102.54it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 26051.58it/s]
logs/1c012825-f3d7-4920-9ed6-084e07f5c707.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8308 train_time:0ms step_avg:0.04ms
step:1/1480 train_time:125ms step_avg:125.24ms
step:2/1480 train_time:239ms step_avg:119.37ms
step:3/1480 train_time:354ms step_avg:117.96ms
step:4/1480 train_time:469ms step_avg:117.15ms
step:5/1480 train_time:585ms step_avg:117.10ms
step:6/1480 train_time:700ms step_avg:116.61ms
step:7/1480 train_time:816ms step_avg:116.62ms
step:8/1480 train_time:932ms step_avg:116.47ms
step:9/1480 train_time:1053ms step_avg:116.96ms
step:10/1480 train_time:1170ms step_avg:117.03ms
step:11/1480 train_time:1289ms step_avg:117.16ms
step:12/1480 train_time:1404ms step_avg:117.00ms
step:13/1480 train_time:1520ms step_avg:116.95ms
step:14/1480 train_time:1638ms step_avg:116.98ms
step:15/1480 train_time:1754ms step_avg:116.94ms
step:16/1480 train_time:1869ms step_avg:116.80ms
step:17/1480 train_time:1987ms step_avg:116.90ms
step:18/1480 train_time:2105ms step_avg:116.93ms
step:19/1480 train_time:2224ms step_avg:117.04ms
step:20/1480 train_time:2340ms step_avg:117.00ms
step:21/1480 train_time:2459ms step_avg:117.08ms
step:22/1480 train_time:2574ms step_avg:117.02ms
step:23/1480 train_time:2692ms step_avg:117.06ms
step:24/1480 train_time:2807ms step_avg:116.95ms
step:25/1480 train_time:2926ms step_avg:117.04ms
step:26/1480 train_time:3043ms step_avg:117.03ms
step:27/1480 train_time:3162ms step_avg:117.10ms
step:28/1480 train_time:3279ms step_avg:117.11ms
step:29/1480 train_time:3396ms step_avg:117.11ms
step:30/1480 train_time:3514ms step_avg:117.12ms
step:31/1480 train_time:3631ms step_avg:117.12ms
step:32/1480 train_time:3746ms step_avg:117.06ms
step:33/1480 train_time:3864ms step_avg:117.08ms
step:34/1480 train_time:3979ms step_avg:117.03ms
step:35/1480 train_time:4097ms step_avg:117.07ms
step:36/1480 train_time:4214ms step_avg:117.05ms
step:37/1480 train_time:4332ms step_avg:117.07ms
step:38/1480 train_time:4447ms step_avg:117.03ms
step:39/1480 train_time:4565ms step_avg:117.05ms
step:40/1480 train_time:4681ms step_avg:117.02ms
step:41/1480 train_time:4799ms step_avg:117.05ms
step:42/1480 train_time:4916ms step_avg:117.04ms
step:43/1480 train_time:5034ms step_avg:117.06ms
step:44/1480 train_time:5149ms step_avg:117.03ms
step:45/1480 train_time:5267ms step_avg:117.05ms
step:46/1480 train_time:5383ms step_avg:117.03ms
step:47/1480 train_time:5501ms step_avg:117.04ms
step:48/1480 train_time:5617ms step_avg:117.03ms
step:49/1480 train_time:5735ms step_avg:117.05ms
step:50/1480 train_time:5852ms step_avg:117.03ms
step:51/1480 train_time:5969ms step_avg:117.04ms
