W0505 05:44:42.031000 6249 torch/distributed/run.py:852] 
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] *****************************************
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 1 is connected to 1 peer ranks. Expected number of connected peer ranks is : 1
[Gloo] Rank 0 is connected to 1 peer ranks. Expected number of connected peer ranks is : 1
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6973.07it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 41943.04it/s]
logs/f76c54c3-c5fe-46b4-8d17-4d9eed580620.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8287 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:119ms step_avg:118.82ms
step:2/1480 train_time:232ms step_avg:115.97ms
step:3/1480 train_time:347ms step_avg:115.66ms
step:4/1480 train_time:461ms step_avg:115.33ms
step:5/1480 train_time:577ms step_avg:115.40ms
step:6/1480 train_time:692ms step_avg:115.35ms
step:7/1480 train_time:807ms step_avg:115.34ms
step:8/1480 train_time:923ms step_avg:115.37ms
step:9/1480 train_time:1044ms step_avg:116.00ms
step:10/1480 train_time:1161ms step_avg:116.10ms
step:11/1480 train_time:1281ms step_avg:116.41ms
step:12/1480 train_time:1398ms step_avg:116.46ms
step:13/1480 train_time:1515ms step_avg:116.52ms
step:14/1480 train_time:1629ms step_avg:116.38ms
step:15/1480 train_time:1746ms step_avg:116.38ms
step:16/1480 train_time:1861ms step_avg:116.29ms
step:17/1480 train_time:1979ms step_avg:116.40ms
step:18/1480 train_time:2096ms step_avg:116.46ms
step:19/1480 train_time:2214ms step_avg:116.51ms
step:20/1480 train_time:2330ms step_avg:116.49ms
step:21/1480 train_time:2448ms step_avg:116.55ms
step:22/1480 train_time:2563ms step_avg:116.51ms
step:23/1480 train_time:2681ms step_avg:116.56ms
step:24/1480 train_time:2796ms step_avg:116.52ms
step:25/1480 train_time:2913ms step_avg:116.51ms
step:26/1480 train_time:3029ms step_avg:116.51ms
