W0505 06:42:27.524000 11431 torch/distributed/run.py:852] 
W0505 06:42:27.524000 11431 torch/distributed/run.py:852] *****************************************
W0505 06:42:27.524000 11431 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0505 06:42:27.524000 11431 torch/distributed/run.py:852] *****************************************
logs/3b0564f6-2be5-48a1-bbb4-9ed915ae8c27.txt
step:0/3350 val_loss:10.82585 train_time:0.000s step_avg:nanms
step:1/3350 train_time:7.497s step_avg:7496.89ms
step:2/3350 train_time:8.022s step_avg:4011.10ms
step:3/3350 train_time:8.588s step_avg:2862.75ms
step:4/3350 train_time:9.167s step_avg:2291.85ms
step:5/3350 train_time:9.735s step_avg:1946.95ms
step:6/3350 train_time:10.314s step_avg:1719.03ms
step:7/3350 train_time:10.893s step_avg:1556.16ms
step:8/3350 train_time:11.472s step_avg:1434.01ms
step:9/3350 train_time:12.052s step_avg:1339.12ms
step:10/3350 train_time:12.629s step_avg:1262.91ms
step:11/3350 train_time:13.210s step_avg:1200.88ms
step:12/3350 train_time:13.790s step_avg:1149.20ms
step:13/3350 train_time:14.372s step_avg:1105.52ms
step:14/3350 train_time:14.950s step_avg:1067.85ms
step:15/3350 train_time:15.526s step_avg:1035.07ms
step:16/3350 train_time:16.100s step_avg:1006.25ms
step:17/3350 train_time:16.677s step_avg:981.00ms
step:18/3350 train_time:17.254s step_avg:958.55ms
step:19/3350 train_time:17.835s step_avg:938.67ms
step:20/3350 train_time:18.414s step_avg:920.68ms
step:21/3350 train_time:18.996s step_avg:904.56ms
step:22/3350 train_time:19.574s step_avg:889.71ms
step:23/3350 train_time:20.154s step_avg:876.28ms
step:24/3350 train_time:20.732s step_avg:863.84ms
step:25/3350 train_time:21.312s step_avg:852.47ms
step:26/3350 train_time:21.891s step_avg:841.95ms
step:27/3350 train_time:22.465s step_avg:832.04ms
step:28/3350 train_time:23.037s step_avg:822.77ms
step:29/3350 train_time:23.611s step_avg:814.18ms
step:30/3350 train_time:24.191s step_avg:806.36ms
step:31/3350 train_time:24.765s step_avg:798.86ms
step:32/3350 train_time:25.341s step_avg:791.91ms
step:33/3350 train_time:25.914s step_avg:785.28ms
step:34/3350 train_time:26.493s step_avg:779.19ms
step:35/3350 train_time:27.073s step_avg:773.50ms
step:36/3350 train_time:27.652s step_avg:768.11ms
step:37/3350 train_time:28.229s step_avg:762.94ms
step:38/3350 train_time:28.809s step_avg:758.12ms
step:39/3350 train_time:29.384s step_avg:753.44ms
step:40/3350 train_time:29.957s step_avg:748.91ms
step:41/3350 train_time:30.533s step_avg:744.72ms
step:42/3350 train_time:31.111s step_avg:740.73ms
step:43/3350 train_time:31.690s step_avg:736.98ms
step:44/3350 train_time:32.268s step_avg:733.36ms
step:45/3350 train_time:32.841s step_avg:729.81ms
step:46/3350 train_time:33.416s step_avg:726.42ms
step:47/3350 train_time:33.995s step_avg:723.30ms
step:48/3350 train_time:34.573s step_avg:720.27ms
step:49/3350 train_time:35.151s step_avg:717.38ms
step:50/3350 train_time:35.730s step_avg:714.61ms
step:51/3350 train_time:36.311s step_avg:711.98ms
step:52/3350 train_time:36.890s step_avg:709.42ms
step:53/3350 train_time:37.465s step_avg:706.90ms
step:54/3350 train_time:38.037s step_avg:704.40ms
step:55/3350 train_time:38.614s step_avg:702.07ms
step:56/3350 train_time:39.193s step_avg:699.87ms
step:57/3350 train_time:39.773s step_avg:697.77ms
step:58/3350 train_time:40.350s step_avg:695.68ms
step:59/3350 train_time:40.930s step_avg:693.73ms
step:60/3350 train_time:41.509s step_avg:691.82ms
step:61/3350 train_time:42.089s step_avg:689.99ms
step:62/3350 train_time:42.661s step_avg:688.09ms
step:63/3350 train_time:43.236s step_avg:686.29ms
step:64/3350 train_time:43.814s step_avg:684.60ms
step:65/3350 train_time:44.394s step_avg:682.99ms
step:66/3350 train_time:44.972s step_avg:681.39ms
step:67/3350 train_time:45.552s step_avg:679.88ms
step:68/3350 train_time:46.133s step_avg:678.42ms
step:69/3350 train_time:46.713s step_avg:677.00ms
step:70/3350 train_time:47.291s step_avg:675.59ms
step:71/3350 train_time:47.870s step_avg:674.23ms
step:72/3350 train_time:48.448s step_avg:672.88ms
step:73/3350 train_time:49.020s step_avg:671.51ms
step:74/3350 train_time:49.597s step_avg:670.22ms
step:75/3350 train_time:50.174s step_avg:668.98ms
step:76/3350 train_time:50.754s step_avg:667.81ms
step:77/3350 train_time:51.334s step_avg:666.67ms
step:78/3350 train_time:51.913s step_avg:665.56ms
step:79/3350 train_time:52.494s step_avg:664.48ms
step:80/3350 train_time:53.073s step_avg:663.42ms
